Country,Region,Subregion
Peru,The Americas,South America
Philippines,Asia,
Poland,Europe,European Union
Portugal,Europe,European Union
Puerto Rico,The Americas,Caribbean
Qatar,Middle East,
Reunion,Africa,Eastern Africa
Romania,Europe,European Union
Russian Federation,Europe,Independent
Rwanda,Africa,Eastern Africa
Saint Helena,Africa,Western Africa
St. Lucia,The Americas,Caribbean
St. Martin (French part),The Americas,Caribbean
Saint Pierre and Miquelon,The Americas,North America
St. Vincent and the Grenadines,The Americas,Caribbean
Saint-Barthélemy,The Americas,Caribbean
Samoa,Oceania,
American Samoa,Oceania,
San Marino,Europe,Independent
Sao Tome and Principe,Africa,Middle Africa
Saudi Arabia,Middle East,
Senegal,Africa,Western Africa
Serbia,Europe,Independent
Seychelles,Africa,Eastern Africa
Sierra Leone,Africa,Western Africa
Singapore,Asia,
Sint Maarten (Dutch part),The Americas,Caribbean
Slovak Republic,Europe,European Union
Slovenia,Europe,European Union
Solomon Islands,Oceania,
Somalia,Africa,Eastern Africa
South Africa,Africa,Southern Africa
South Sudan,Africa,Northern Africa
Southern Africa,Africa,Southern Africa
Spain,Europe,European Union
Sri Lanka,Asia,
St. Kitts and Nevis,The Americas,Caribbean
Sudan,Africa,Northern Africa
Suriname,The Americas,South America
Svalbard and Jan Mayen Islands,Europe,Independent
Swaziland,Africa,Southern Africa
Sweden,Europe,European Union
Switzerland,Europe,Independent
Syrian Arab Republic,Middle East,
Taiwan,Asia,
Tajikistan,Asia,
Tanzania,Africa,Eastern Africa
Thailand,Asia,
Timor-Leste,Asia,
Togo,Africa,Western Africa
Tonga,Oceania,
Trinidad and Tobago,The Americas,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Europe,Independent
Turkmenistan,Asia,
Turks and Caicos Islands,The Americas,Caribbean
Uganda,Africa,Eastern Africa
Ukraine,Europe,Independent
United Arab Emirates,Middle East,
United Kingdom,Europe,European Union
United States,The Americas,North America
Uruguay,The Americas,South America
Uzbekistan,Asia,
Vanuatu,Oceania,
Vatican City State (Holy See),Europe,Independent
"Venezuela, RB",The Americas,South America
Vietnam,Asia,
Virgin Islands (U.S.),The Americas,Caribbean
Western Africa,Africa,Western Africa
Western Sahara,Africa,Northern Africa
"Yemen, Rep.",Middle East,
Zambia,Africa,Eastern Africa
Zimbabwe,Africa,Eastern Africa
